Index,Sigma,Freq,Ratio_SF,True_Thickness,Pred_Thickness,Error_Abs,Ratio_Category,Thick_Category
539,0.04,8.8,0.00454545434481912,13.99999999063365,14.00147,0.001469621487931505,中比值 (过渡区),中等环流
540,0.08,4.7999997,0.016666667284076196,16.0000000751217,15.830444,0.16955573918420086,高比值 (阻性主导),中等环流
541,-4.583865e-10,12.6,-3.6379879485200724e-11,18.000000159609748,18.054623,0.054622490536736734,低比值 (容性主导),厚环流
542,0.12,16.0,0.0074999998318931865,23.999999797279294,23.524017,0.475982463294919,中比值 (过渡区),厚环流
543,0.1,6.7999997,0.014705883188646641,4.000000183988009,4.153599,0.1535986014123818,高比值 (阻性主导),薄环流
544,0.04,18.6,0.0021505375421190763,6.00000006321119,5.651675,0.34832483890699084,低比值 (容性主导),薄环流
545,-4.583865e-10,11.6,-3.9516075889140427e-11,4.000000183988009,4.023978,0.023978049349393515,低比值 (容性主导),薄环流
546,0.06,3.6000001,0.016666665627234217,23.999999797279294,23.241798,0.7582013964003878,高比值 (阻性主导),厚环流
547,0.12,0.6000001,0.199999967380822,7.999999942434371,8.494746,0.4947462657565467,高比值 (阻性主导),薄环流
548,0.06,14.400001,0.00416666640767661,13.99999999063365,13.882985,0.117014875582381,中比值 (过渡区),中等环流
549,0.02,14.8,0.00135135130363946,4.000000183988009,3.7901192,0.2098810128454307,低比值 (容性主导),薄环流
550,-4.583865e-10,19.0,-2.4125605021242426e-11,16.0000000751217,16.178343,0.17834274409216633,低比值 (容性主导),中等环流
551,0.12,9.2,0.013043478238325384,10.000000026922422,10.023701,0.0237006871889065,高比值 (阻性主导),中等环流
552,0.04,5.3999996,0.007407407763745321,16.0000000751217,16.019636,0.019636079053103828,中比值 (过渡区),中等环流
553,0.12,3.8,0.03157894705052989,18.000000159609748,17.727287,0.2727128671292789,高比值 (阻性主导),厚环流
554,0.12,15.0,0.007999999820652732,12.000000008778036,11.796987,0.20301342888301654,中比值 (过渡区),中等环流
555,-4.583865e-10,7.6,-6.031401330518555e-11,2.0000003047648285,1.9737788,0.026221460885128778,低比值 (容性主导),薄环流
556,0.02,3.6000001,0.005555555209078073,13.99999999063365,14.098688,0.09868813497670104,中比值 (过渡区),中等环流
557,0.1,9.6,0.010416666406880892,6.00000006321119,5.7923236,0.2076764738862389,高比值 (阻性主导),薄环流
558,0.08,11.4,0.007017543937002077,12.000000008778036,11.829525,0.1704750148815517,中比值 (过渡区),中等环流
559,-4.583865e-10,15.4,-2.976535758133436e-11,23.999999797279294,23.930317,0.06968287223046588,低比值 (容性主导),厚环流
560,0.02,16.800001,0.0011904760827013648,20.00000003883293,20.350014,0.3500136940772265,低比值 (容性主导),厚环流
561,0.1,16.800001,0.00595238063525028,13.99999999063365,13.860972,0.13902758615367006,中比值 (过渡区),中等环流
562,0.1,15.4,0.006493506750694731,10.000000026922422,9.908353,0.09164717505474584,中比值 (过渡区),中等环流
563,0.02,4.2,0.004761904870586794,4.000000183988009,3.9743052,0.025695031094942422,中比值 (过渡区),薄环流
564,0.04,3.6000001,0.011111110418156146,4.000000183988009,3.9107866,0.0892135552648643,高比值 (阻性主导),薄环流
565,0.04,18.6,0.0021505375421190763,12.000000008778036,11.905678,0.09432221336787983,低比值 (容性主导),中等环流
566,-4.583865e-10,19.199999,-2.3874298058636627e-11,2.0000003047648285,1.9619027,0.03809756714733581,低比值 (容性主导),薄环流
567,0.04,2.6000001,0.015384614188368846,21.999999918056112,22.10506,0.10506065933646624,高比值 (阻性主导),厚环流
568,0.1,2.2,0.04545454512600907,16.0000000751217,15.966696,0.03330428959923992,高比值 (阻性主导),中等环流
569,0.02,5.3999996,0.0037037038818726604,2.0000003047648285,1.7247344,0.2752658792200897,中比值 (过渡区),薄环流
570,0.08,3.8,0.021052631367019924,13.99999999063365,13.996696,0.003303518465681776,高比值 (阻性主导),中等环流
571,0.04,19.199999,0.0020833334108350454,12.000000008778036,11.901405,0.09859467430537983,低比值 (容性主导),中等环流
572,0.02,15.0,0.001333333303442122,4.000000183988009,3.7937584,0.20624179165402445,低比值 (容性主导),薄环流
573,0.06,16.800001,0.0035714282481040947,16.0000000751217,16.174257,0.17425720332068195,低比值 (容性主导),中等环流
574,0.06,18.4,0.0032608695597585676,10.000000026922422,9.84025,0.15975001166363256,低比值 (容性主导),中等环流
575,0.06,12.4,0.004838709717732101,6.00000006321119,5.988012,0.011988226205574826,中比值 (过渡区),薄环流
576,0.02,3.4000003,0.0058823522304811545,16.0000000751217,16.239101,0.23910133479040852,中比值 (过渡区),中等环流
577,0.12,9.6,0.012499999222595802,23.999999797279294,23.402132,0.5978677629775362,高比值 (阻性主导),厚环流
578,0.1,16.0,0.006250000092741632,6.00000006321119,5.8250847,0.17491537693189319,中比值 (过渡区),薄环流
579,-4.583865e-10,10.4,-4.4075626172805106e-11,6.00000006321119,5.986074,0.013926092416512326,低比值 (容性主导),薄环流
580,0.04,14.6,0.002739725894388227,4.000000183988009,3.7789564,0.22104377071896586,低比值 (容性主导),薄环流
581,-4.583865e-10,7.0,-6.54837850517497e-11,7.999999942434371,7.7945714,0.2054285427456506,低比值 (容性主导),薄环流
582,0.08,0.1999995,0.4000009963803042,13.99999999063365,16.02917,2.029169092007951,高比值 (阻性主导),中等环流
583,0.08,16.6,0.004819276889676695,18.000000159609748,17.962564,0.03743569122595858,中比值 (过渡区),厚环流
584,0.08,9.4,0.00851063845211712,16.0000000751217,15.957659,0.04234130742150555,中比值 (过渡区),中等环流
585,0.06,18.2,0.0032967030846381288,4.000000183988009,3.8547935,0.14520663540402445,低比值 (容性主导),薄环流
586,-4.583865e-10,17.6,-2.6044686674228835e-11,21.999999918056112,22.785765,0.7857647761577553,低比值 (容性主导),厚环流
587,0.02,14.2,0.0014084506915631946,13.99999999063365,13.87294,0.12705992715708803,低比值 (容性主导),中等环流
588,0.08,3.4000003,0.023529408921924618,13.99999999063365,14.06067,0.06066990835316588,高比值 (阻性主导),中等环流
589,0.06,9.6,0.006249999611297901,18.000000159609748,17.910671,0.08932892547888827,中比值 (过渡区),厚环流
590,0.06,18.0,0.0033333332586423423,6.00000006321119,5.828953,0.17104727390454944,低比值 (容性主导),薄环流
591,0.12,7.6,0.015789473527342505,4.000000183988009,4.26056,0.2605598517175576,高比值 (阻性主导),薄环流
592,0.02,3.8,0.005263157841754981,12.000000008778036,11.775989,0.22401142998164936,中比值 (过渡区),中等环流
593,0.06,15.0,0.003999999910326366,4.000000183988009,3.7910414,0.20895880978146586,中比值 (过渡区),薄环流
594,0.06,13.4,0.004477611967350096,18.000000159609748,17.98068,0.019319693911505453,中比值 (过渡区),厚环流
595,0.06,11.2,0.005357142828154665,21.999999918056112,22.273335,0.27333458511771624,中比值 (过渡区),厚环流
596,0.12,10.2,0.011764705838231944,23.999999797279294,23.413248,0.5867517351455049,高比值 (阻性主导),厚环流
597,0.04,8.8,0.00454545434481912,12.000000008778036,11.885634,0.11436558647578998,中比值 (过渡区),中等环流
598,0.06,5.7999997,0.010344827863487872,20.00000003883293,19.818565,0.181434670180586,高比值 (阻性主导),厚环流
599,0.04,15.8,0.0025316454823117486,4.000000183988009,3.850585,0.14941520016232523,低比值 (容性主导),薄环流
600,-4.583865e-10,16.199999,-2.8295464677841096e-11,2.0000003047648285,1.9637214,0.03627891022594909,低比值 (容性主导),薄环流
601,0.12,4.9999995,0.024000001747576723,23.999999797279294,23.254707,0.7452924608535128,高比值 (阻性主导),厚环流
602,-4.583865e-10,13.2,-3.472625015276606e-11,10.000000026922422,9.844974,0.1550264627744724,低比值 (容性主导),中等环流
603,0.04,9.6,0.004166666407531934,6.00000006321119,5.676362,0.32363802555249865,中比值 (过渡区),薄环流
604,-4.583865e-10,0.7999999,-5.729831954114702e-10,23.999999797279294,23.930517,0.06948260062402056,低比值 (容性主导),厚环流
605,0.08,19.4,0.004123711328907628,2.0000003047648285,1.9766341,0.023366159981808465,中比值 (过渡区),薄环流
606,-4.583865e-10,9.4,-4.87645227639528e-11,21.999999918056112,22.81818,0.8181801661724037,低比值 (容性主导),厚环流
607,0.08,4.7999997,0.016666667284076196,2.0000003047648285,2.0996618,0.09966152232257386,高比值 (阻性主导),薄环流
608,0.02,9.2,0.0021739130397208976,21.999999918056112,22.311508,0.3115082606548256,低比值 (容性主导),厚环流
609,0.02,5.7999997,0.0034482759544959573,12.000000008778036,11.907719,0.09228135033077045,低比值 (容性主导),中等环流
610,0.08,17.2,0.00465116248015431,18.000000159609748,17.948668,0.05133263336463045,中比值 (过渡区),厚环流
611,0.1,18.6,0.005376344055582112,12.000000008778036,11.933883,0.06611729546016498,中比值 (过渡区),中等环流
612,0.04,3.0000002,0.013333331971227644,13.99999999063365,13.8857975,0.11420249002329896,高比值 (阻性主导),中等环流
613,0.08,10.6,0.0075471693703110234,4.000000183988009,3.9696274,0.03037280361691508,中比值 (过渡区),薄环流
614,0.04,6.0,0.006666666516543944,12.000000008778036,11.912413,0.08758736534541889,中比值 (过渡区),中等环流
615,0.02,4.7999997,0.004166666821019049,21.999999918056112,22.449158,0.4491577967876381,中比值 (过渡区),厚环流
616,-4.583865e-10,0.7999999,-5.729831954114702e-10,12.000000008778036,11.852768,0.14723206444209858,低比值 (容性主导),中等环流
617,0.12,16.6,0.007228915334515043,6.00000006321119,5.819808,0.18019205692456897,中比值 (过渡区),薄环流
